Topic,Count,Name
-1,6769,-1_app_apps_mae_transfer
0,3624,0_app_apps_card_update
1,2419,1_masuk_dh_aku_buka
2,2345,2_password_number_account_log
3,1417,3_duit_money_wallet_transfer
4,969,4_update_download_menyusahkan_install
5,622,5_boost_rewards_reward_app
6,378,6_slow_loading_app_lambat
7,334,7_face_ic_scan_id
8,254,8_service_customer_customer service_call
9,242,9_notification_off_pop_annoying
10,213,10_qr_qr code_code_scan
11,162,11_rm50_rm_dapat_claim
12,130,12_petrol_station_setel_detect
13,122,13_number_app_ewallet_tng
